Team,Seed,Region,R64,R32,S16,E8,F4,Champ,Champ_Prob,EV_Pct,Bonus_EV,Total_EV_Pct,EV_Dollars,Est_Price,Value_Ratio,Surplus
TCU,9,East,0.346,0.2046627906976744,0.07593355481727575,0.025627906976744184,0.00872923588039867,0.0033222591362126247,0.0033222591362126247,0.008370556478405315,0.0009451980897009966,0.009315754568106311,60.55240469269102,48.44192375415282,1.25,12.110480938538203
UCF,10,East,0.278,0.18290033222591362,0.07225581395348837,0.026342746400885936,0.008644518272425248,0.0033222591362126247,0.0033222591362126247,0.0076785478959025474,0.0014610274086378737,0.009139575304540421,59.40723947951274,47.52579158361019,1.25,11.881447895902546
VCU,11,South,0.385,0.15568017456359104,0.0576571072319202,0.024351620947630923,0.008610972568578552,0.0024937655860349122,0.0024937655860349127,0.00728547849127182,0.0017432576371571072,0.009028736128428926,58.68678483478802,38.14641014261222,1.5384615384615383,20.540374692175803
Miami OH,11,Midwest,0.5,0.14643131868131867,0.05037012987012987,0.018746253746253744,0.005247752247752248,0.001,0.000999000999000999,0.007019971903096903,0.0016757830294705294,0.008695754932567433,56.52240706168831,36.7395645900974,1.5384615384615385,19.78284247159091
Santa Clara,10,Midwest,0.278,0.1754438902743142,0.06645635910224439,0.022890689941812137,0.0069875311720698245,0.0024937655860349127,0.0024937655860349127,0.007123112011637574,0.001406968204488778,0.008530080216126352,55.445521404821285,44.35641712385703,1.25,11.089104280964257
South Florida,11,East,0.19,0.15054534109816972,0.05361148086522463,0.021239600665557405,0.006743760399334444,0.001663893510815308,0.0016638935108153079,0.005843805116472546,0.0017057966930116473,0.007549601809484193,49.07241176164725,31.897067645070717,1.5384615384615383,17.175344116576536
Akron,12,Midwest,0.181,0.14942215568862277,0.05195209580838323,0.019474051896207583,0.006988023952095809,0.001996007984031936,0.001996007984031936,0.00568308882235529,0.00169411751497006,0.00737720633732535,47.95184119261477,31.168696775199603,1.5384615384615383,16.78314441741517
High Point,12,West,0.237,0.12024512743628185,0.033997001499250376,0.009748375812093951,0.0024992503748125935,0.001,0.0004997501249375312,0.004342240129935033,0.0015039057346326835,0.0058461458645677165,37.99994811969016,24.699966277798605,1.5384615384615383,13.299981841891555
McNeese,12,South,0.188,0.12349133910726183,0.035994670219853434,0.010830446369087275,0.002998667554963358,0.001,0.0006662225183211193,0.0042703714190539645,0.0015250685376415722,0.0057954399566955365,37.670359718520984,24.48573381703864,1.5384615384615385,13.184625901482345
Northern Iowa,12,East,0.15,0.12349133910726183,0.035994670219853434,0.010830446369087275,0.002998667554963358,0.001,0.0006662225183211193,0.0040803714190539644,0.0015250685376415722,0.005605439956695536,36.435359718520985,23.68298381703864,1.5384615384615385,12.752375901482345
UMBC,16,Midwest,0.5,0.012543337774816789,0.007362225183211193,0.003481112591605596,0.0016905562958027982,0.001,0.0006662225183211193,0.0031798599683544307,0.002330167529980013,0.005510027498334444,35.81517873917389,17.907589369586944,2.0,17.907589369586944
Prairie View A&M,16,South,0.5,0.010046251874062967,0.005697501249375312,0.002648750624687656,0.001274375312343828,0.001,0.0004997501249375312,0.003041479791354323,0.002313312200149925,0.005354791991504248,34.806147944777614,17.403073972388807,2.0,17.403073972388807
